L 08/24/1999 - 10:21:33: Log file started.
L 08/24/1999 - 10:21:33: Spawning server "hunted"
L 08/24/1999 - 10:21:33: server cvars start
L 08/24/1999 - 10:21:33: "cr_random" = "0"
L 08/24/1999 - 10:21:33: "cr_engineer" = "0"
L 08/24/1999 - 10:21:33: "cr_spy" = "0"
L 08/24/1999 - 10:21:33: "cr_pyro" = "0"
L 08/24/1999 - 10:21:33: "cr_hwguy" = "0"
L 08/24/1999 - 10:21:33: "cr_medic" = "0"
L 08/24/1999 - 10:21:33: "cr_demoman" = "0"
L 08/24/1999 - 10:21:33: "cr_soldier" = "0"
L 08/24/1999 - 10:21:33: "cr_sniper" = "0"
L 08/24/1999 - 10:21:33: "cr_scout" = "0"
L 08/24/1999 - 10:21:33: "decalfrequency" = "30"
L 08/24/1999 - 10:21:33: "mp_autocrosshair" = "1"
L 08/24/1999 - 10:21:33: "mp_flashlight" = "0"
L 08/24/1999 - 10:21:33: "mp_footsteps" = "1"
L 08/24/1999 - 10:21:33: "mp_forcerespawn" = "1"
L 08/24/1999 - 10:21:33: "mp_weaponstay" = "0"
L 08/24/1999 - 10:21:33: "mp_falldamage" = "0"
L 08/24/1999 - 10:21:33: "mp_friendlyfire" = "0"
L 08/24/1999 - 10:21:33: "mp_timelimit" = "30"
L 08/24/1999 - 10:21:33: "mp_fraglimit" = "0"
L 08/24/1999 - 10:21:33: "mp_teamplay" = "21"
L 08/24/1999 - 10:21:33: "tfc_balance_scores" = "1.0"
L 08/24/1999 - 10:21:33: "tfc_balance_teams" = "1.0"
L 08/24/1999 - 10:21:33: "tfc_adminpwd" = ""
L 08/24/1999 - 10:21:33: "tfc_clanbattle_locked" = "0.0"
L 08/24/1999 - 10:21:33: "tfc_clanbattle" = "0.0"
L 08/24/1999 - 10:21:33: "tfc_respawndelay" = "0.0"
L 08/24/1999 - 10:21:33: "tfc_autoteam" = "1"
L 08/24/1999 - 10:21:33: "sv_maxrate" = "0"
L 08/24/1999 - 10:21:33: "sv_minrate" = "0"
L 08/24/1999 - 10:21:33: "sv_allowupload" = "1"
L 08/24/1999 - 10:21:33: "sv_allowdownload" = "1"
L 08/24/1999 - 10:21:33: "sv_upload_maxsize" = "0"
L 08/24/1999 - 10:21:33: "sv_spectatormaxspeed" = "500"
L 08/24/1999 - 10:21:33: "sv_spectalk" = "1"
L 08/24/1999 - 10:21:33: "sv_maxspectators" = "8"
L 08/24/1999 - 10:21:33: "sv_cheats" = "0"
L 08/24/1999 - 10:21:33: "sv_clienttrace" = "3.5"
L 08/24/1999 - 10:21:33: "sv_timeout" = "65"
L 08/24/1999 - 10:21:33: "sv_waterfriction" = "1"
L 08/24/1999 - 10:21:33: "sv_wateraccelerate" = "10"
L 08/24/1999 - 10:21:33: "sv_airaccelerate" = "10"
L 08/24/1999 - 10:21:33: "sv_airmove" = "1"
L 08/24/1999 - 10:21:33: "sv_bounce" = "1"
L 08/24/1999 - 10:21:33: "sv_clipmode" = "0"
L 08/24/1999 - 10:21:33: "sv_stepsize" = "18"
L 08/24/1999 - 10:21:33: "sv_accelerate" = "10"
L 08/24/1999 - 10:21:33: "sv_maxspeed" = "500.000000"
L 08/24/1999 - 10:21:33: "sv_stopspeed" = "100"
L 08/24/1999 - 10:21:33: "edgefriction" = "2"
L 08/24/1999 - 10:21:33: "sv_friction" = "4"
L 08/24/1999 - 10:21:33: "sv_gravity" = "800"
L 08/24/1999 - 10:21:33: "sv_aim" = "0"
L 08/24/1999 - 10:21:33: "sv_password" = ""
L 08/24/1999 - 10:21:33: "pausable" = "0"
L 08/24/1999 - 10:21:33: "coop" = "0"
L 08/24/1999 - 10:21:33: "deathmatch" = "1"
L 08/24/1999 - 10:21:33: "mp_logecho" = "1"
L 08/24/1999 - 10:21:33: "mp_logfile" = "1"
L 08/24/1999 - 10:21:33: "cmdline" = "0"
L 08/24/1999 - 10:21:33: server cvars end
L 08/24/1999 - 10:21:35: Map CRC "-1879475242"
L 08/24/1999 - 10:21:35: "sv_maxspeed" = "500"
L 08/24/1999 - 10:21:35: Server name is "VALVe Test Server"
L 08/24/1999 - 10:21:35: "sv_maxspeed" = "500.000000"
L 08/24/1999 - 10:21:43: "Dante<4><WON:1623209>" has entered the game
L 08/24/1999 - 10:21:45: "Dante<4>" disconnected
L 08/24/1999 - 10:21:45: Log closed.
